,SEED,NOISE,DATASET,MODEL,ERROR
281,4132,0.1,SIMULATION_00_03,FF_400,0.003280810546129942
282,4132,0.1,SIMULATION_00_03,FF_800,0.0026804786175489426
283,4132,0.1,SIMULATION_00_03,FF_1600,0.0013321100268512964
284,4132,0.1,SIMULATION_00_03,PIDNN_200,0.0009054918773472309
285,4132,0.1,SIMULATION_00_03,PIDNN_400,0.00028951448621228337
286,4132,0.1,SIMULATION_00_03,PIDNN_800,0.00010116048360941932
287,4132,0.1,SIMULATION_00_10,FF_200,0.00276732025668025
288,4132,0.1,SIMULATION_00_10,FF_400,0.0025126009713858366
289,4132,0.1,SIMULATION_00_10,FF_800,0.0023859087377786636
290,4132,0.1,SIMULATION_00_10,FF_1600,0.0011546144960448146
291,4132,0.1,SIMULATION_00_10,PIDNN_200,0.0011526416055858135
292,4132,0.1,SIMULATION_00_10,PIDNN_400,0.0005430325400084257
293,4132,0.1,SIMULATION_00_10,PIDNN_800,0.00019522133516147733
294,4132,0.1,SIMULATION_10_20,FF_200,0.0006545294891111553
295,4132,0.1,SIMULATION_10_20,FF_400,0.0006289689335972071
296,4132,0.1,SIMULATION_10_20,FF_800,0.00040677114157006145
297,4132,0.1,SIMULATION_10_20,FF_1600,0.0001367586519336328
298,4132,0.1,SIMULATION_10_20,PIDNN_200,0.00021199406182859093
299,4132,0.1,SIMULATION_10_20,PIDNN_400,6.426332402043045e-05
300,4132,0.1,SIMULATION_10_20,PIDNN_800,2.2883070414536633e-05
301,4132,0.1,SIMULATION_00_20,FF_200,0.0011051830369979143
302,4132,0.1,SIMULATION_00_20,FF_400,0.0035200100392103195
303,4132,0.1,SIMULATION_00_20,FF_800,0.0023559697438031435
304,4132,0.1,SIMULATION_00_20,FF_1600,0.0012633377918973565
305,4132,0.1,SIMULATION_00_20,PIDNN_200,0.00048591927043162286
306,4132,0.1,SIMULATION_00_20,PIDNN_400,0.00044484747922979295
307,4132,0.1,SIMULATION_00_20,PIDNN_800,0.0002472836058586836
308,4132,0.1,SIMULATION_00_40,FF_200,0.0039628478698432446
309,4132,0.1,SIMULATION_00_40,FF_400,0.0036761111114174128
310,4132,0.1,SIMULATION_00_40,FF_800,0.002054156269878149
311,4132,0.1,SIMULATION_00_40,FF_1600,0.0017312972340732813
312,4132,0.1,SIMULATION_00_40,PIDNN_200,0.0007491562864743173
313,4132,0.1,SIMULATION_00_40,PIDNN_400,0.0009159447508864105
314,4132,0.1,SIMULATION_00_40,PIDNN_800,0.0003241959202568978
